#OTU ID	KO4	KO6	KO5	KO3	WT8	KO9	WT9	KO1	WT6	KO2	WT2	KO7	WT7	OE5	OE2	WT3	WT1	OE1	WT4	OE4	KO8	WT5	OE7	OE6	OE8	OE9	OE3
887161	0	0	0	2	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
819708	36	25	37	32	18	49	9	24	3	17	9	89	8	7	10	5	10	6	11	2	45	11	16	29	7	16	11
246404	6	8	10	2	0	11	1	6	2	10	4	7	6	0	2	9	3	2	4	5	8	7	0	1	3	3	0
2200131	588	205	346	431	271	476	231	195	216	181	114	718	173	77	55	124	150	62	275	45	361	173	98	86	42	84	64
563475	48	62	27	20	15	67	15	28	25	39	34	64	23	5	6	28	23	3	25	1	48	27	8	6	3	4	1
1007985	44	50	42	23	4	57	13	10	18	25	40	55	25	2	2	12	18	7	26	3	42	19	5	5	6	5	1
570140	14	9	8	7	3	12	3	8	13	10	4	8	13	2	1	6	7	0	7	0	7	7	2	1	1	1	1
304062	357	66	181	121	71	139	70	106	106	85	156	274	73	37	25	79	49	19	98	12	146	77	45	39	36	42	20
243709	30	20	30	32	13	23	9	18	13	17	14	35	8	2	0	10	10	5	17	1	24	14	3	2	1	4	1
4330207	80	78	59	21	22	126	32	38	26	52	44	104	46	8	8	56	30	8	34	8	65	44	11	12	4	11	3
167531	56	69	136	18	12	554	125	22	182	52	51	92	20	13	8	6	27	15	27	14	96	74	20	37	13	14	10
577309	5	11	3	4	4	1	2	9	0	7	1	0	1	0	0	2	4	0	3	1	7	3	1	0	0	1	2
1131099	341	265	167	1347	559	311	628	327	216	312	127	190	200	32	31	95	366	34	206	56	421	301	25	68	21	61	18
710574	19	21	15	38	19	29	11	3	28	8	53	12	24	1	1	9	24	1	11	1	31	26	2	3	1	6	0
4008562	69	63	47	39	7	115	14	38	13	30	26	85	46	8	8	15	57	7	70	1	33	49	11	11	10	12	7
647906	63	31	157	35	5	54	15	38	13	16	20	52	22	25	7	7	15	9	26	3	18	28	13	18	11	10	4
4418677	85	33	67	62	35	71	30	34	56	21	16	78	22	17	12	17	26	17	31	8	58	27	28	27	18	32	12
4313535	14	12	11	15	5	13	4	8	2	15	14	14	12	2	1	9	6	1	15	1	10	8	1	2	1	0	1
4396361	1	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1099898	37	31	27	6	3	33	8	10	6	19	6	35	32	4	1	11	13	3	8	1	12	8	1	5	2	1	0
832674	151	87	136	141	67	277	41	61	32	57	67	164	37	43	26	33	27	52	110	22	123	41	50	44	26	40	15
1054879	2	3	2	0	2	1	0	1	1	2	0	2	5	0	0	2	1	0	1	0	3	1	2	0	0	0	0
1106130	300	298	235	329	84	248	94	196	79	226	99	262	179	60	62	99	121	27	130	32	376	140	72	45	49	48	32
829523	30	22	10	9	3	25	12	7	11	26	12	38	11	3	0	6	18	1	10	6	28	8	3	3	1	1	0
676066	35	31	35	31	2	58	14	14	9	18	25	64	14	7	3	16	16	6	15	4	39	19	2	3	2	5	2
697027	2	1	0	0	0	0	6	0	2	3	27	6	0	1	0	2	0	1	1	0	2	0	0	1	0	1	0
198384	12	16	7	13	2	8	1	18	3	10	1	12	4	7	6	3	7	3	3	4	15	7	3	3	3	1	1
257270	21	39	24	6	9	45	6	15	11	21	15	32	9	2	0	13	10	0	19	5	17	14	1	2	1	3	2
581639	622	455	549	598	308	807	269	431	165	371	187	682	220	141	96	206	233	120	300	80	769	210	222	188	94	144	106
314599	32	21	24	14	1	34	9	8	8	11	10	37	11	1	1	12	21	3	15	1	22	14	5	2	0	7	1
987934	1	2	6	2	0	3	0	2	2	0	1	2	1	0	0	19	5	1	0	0	4	1	0	1	0	0	1
750840	2	2	3	2	0	3	2	1	1	3	2	3	1	2	0	3	3	2	0	0	3	4	0	0	0	1	0
726736	6	12	6	3	10	5	3	2	3	1	6	6	3	1	0	3	2	0	4	0	7	8	1	1	1	1	1
539878	0	0	0	0	0	2	0	1	0	1	0	1	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0
527154	3	4	5	0	3	9	1	4	7	3	3	14	3	0	0	3	4	0	3	0	5	2	0	1	0	3	0
4437174	5	1	8	3	0	3	4	1	4	1	2	3	3	0	0	0	3	0	1	0	2	0	0	0	0	0	0
361372	98	125	81	212	138	199	131	108	38	176	32	133	71	28	12	39	92	22	73	16	279	40	19	26	11	17	10
966231	34	22	12	27	10	15	49	9	9	16	12	16	19	1	1	13	27	5	22	3	35	15	3	4	1	2	1
846616	14	9	6	3	2	37	20	4	6	7	4	6	19	3	1	6	6	4	7	1	18	0	3	0	0	1	3
657792	6	6	3	4	1	7	3	0	4	0	1	5	2	0	0	2	1	1	0	0	5	2	1	1	0	0	1
709077	1	4	0	6	0	4	0	1	1	0	1	5	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0
699224	26	20	76	16	17	47	6	18	40	11	5	69	26	9	11	4	8	6	17	8	43	10	8	11	9	4	3
144720	148	74	191	210	24	141	38	54	59	68	34	104	73	12	9	46	106	7	77	8	63	53	12	11	11	11	6
975341	26	18	38	21	5	26	11	12	14	30	11	27	16	5	2	5	16	2	11	4	27	11	4	3	5	2	2
592589	24	19	16	23	7	25	6	12	10	10	12	22	10	3	2	15	7	4	15	1	19	13	3	3	2	6	4
816441	78	71	78	55	12	91	33	42	34	46	33	69	42	7	10	22	35	9	26	6	67	33	7	10	5	11	3
565750	3	8	3	5	0	4	2	2	1	4	3	4	1	1	3	3	3	0	2	1	5	1	1	1	0	1	1
947121	1	2	6	0	2	5	0	0	1	0	0	5	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
350334	8	3	1	2	0	1	2	3	3	2	3	7	0	0	0	2	1	0	0	0	5	2	0	2	0	0	1
354357	21	31	14	19	2	17	7	9	11	16	13	16	15	1	4	9	12	2	27	1	10	8	6	1	2	4	1
558740	190	198	184	86	43	248	94	72	72	88	98	229	107	16	26	97	100	29	93	19	153	80	34	27	29	32	8
257322	4	5	9	5	1	15	3	2	0	4	6	5	7	2	2	4	1	0	4	1	6	1	1	1	0	1	0
1100012	33	26	31	17	8	35	9	6	9	15	14	18	8	4	3	13	15	3	9	4	27	13	11	4	2	12	5
580190	10	7	13	5	0	16	4	1	2	9	3	10	3	1	0	3	5	0	6	1	4	0	1	2	0	1	0
593492	143	106	144	66	30	107	44	48	40	59	63	121	53	15	10	49	62	27	51	15	104	76	23	19	12	23	11
3582212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
584092	104	144	74	161	31	87	27	135	49	107	39	74	46	24	18	58	37	8	44	5	202	37	15	22	7	12	8
574749	72	58	104	101	42	117	70	30	55	30	30	94	36	10	9	33	40	4	52	8	67	49	16	11	12	7	8
225379	7	5	17	11	1	17	2	3	2	5	9	11	6	1	0	1	3	0	6	6	9	5	1	0	0	1	1
884613	6	10	5	4	1	18	6	4	1	5	6	14	3	0	1	1	3	0	6	2	14	7	1	2	4	2	1
4304697	12	1	9	2	4	6	2	5	3	4	2	4	0	0	0	2	2	1	5	1	3	1	1	3	0	1	0
616682	114	78	84	92	19	107	41	42	28	55	36	99	34	5	9	50	32	8	54	2	46	58	6	10	2	10	5
359365	5	3	7	6	6	8	3	7	3	2	1	6	1	0	1	1	4	0	4	0	3	2	1	1	1	0	1
954340	2	1	2	0	0	0	0	1	1	2	3	2	0	1	0	0	1	0	0	0	3	4	0	0	0	3	0
275701	5	6	9	6	1	5	3	3	1	3	5	11	0	1	1	1	1	1	2	0	1	8	1	1	0	1	0
223752	17	9	17	9	1	29	4	8	3	9	16	18	6	3	0	10	8	4	9	2	20	7	3	2	2	7	1
254180	11	16	17	26	0	11	3	5	5	7	4	13	9	0	0	6	6	0	13	2	8	9	1	1	1	2	2
3319380	57	58	44	98	17	80	26	25	27	48	43	103	34	17	13	24	30	15	41	8	135	28	13	12	16	14	13
704462	106	96	89	92	32	208	32	33	37	57	36	111	32	17	20	49	33	22	40	19	90	35	33	30	21	30	9
809954	2	0	0	0	0	2	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
804047	21	16	21	2	3	9	4	4	3	7	5	9	7	2	0	11	5	1	2	0	17	5	1	3	0	2	2
928082	0	0	0	0	0	3	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
261980	113	168	82	70	14	79	62	63	48	75	46	108	27	17	11	31	22	16	45	7	101	28	31	22	10	17	13
2181556	22	16	17	20	8	25	13	8	5	8	12	12	9	2	0	9	15	2	14	0	14	6	0	0	1	0	0
864304	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
843254	29	11	33	29	14	27	13	11	20	8	13	41	9	2	0	8	10	2	20	1	30	16	2	1	5	2	1
792868	40	29	42	32	15	72	20	31	10	27	9	65	13	9	16	11	14	14	19	12	84	9	23	17	17	16	6
782872	6	70	3	1	39	7	6	0	0	102	2	7	0	0	1	1	8	0	14	1	61	7	2	1	1	0	1
254949	40	33	24	20	0	31	10	12	6	16	26	23	15	7	0	5	12	5	11	2	15	29	4	5	2	4	1
834020	9	8	3	5	2	10	4	4	1	3	4	6	2	1	0	0	2	0	4	0	4	4	1	0	0	1	0
155467	14	5	12	5	5	14	3	10	6	4	3	8	4	0	0	2	1	0	7	0	10	5	0	1	0	4	1
227534	1	4	0	3	1	3	0	1	4	0	2	7	1	0	1	1	2	0	2	0	2	0	0	0	0	0	0
4339472	27	15	13	25	6	43	29	16	14	6	11	10	12	1	1	20	15	2	34	0	6	18	1	1	0	0	0
963763	10	15	18	14	1	18	4	5	7	5	5	15	6	4	3	8	6	2	5	4	12	9	5	5	4	2	3
740154	29	37	23	8	7	34	16	2	12	11	7	17	8	1	0	12	12	0	20	1	21	18	4	1	3	1	0
576136	7	13	11	4	1	12	2	5	3	4	4	12	1	1	0	7	8	1	9	0	10	6	1	2	0	1	0
572713	1	2	0	0	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
1037355	38	54	20	31	4	35	8	32	20	28	17	25	20	2	7	18	21	4	22	4	64	25	6	8	4	6	4
819893	1	3	1	1	4	3	0	1	0	2	0	6	4	1	0	0	0	0	2	0	2	3	1	0	1	1	1
193536	6	9	12	7	0	22	3	4	3	15	2	9	5	7	4	5	6	4	2	0	11	6	2	3	2	1	1
570692	16	11	19	6	3	11	11	4	4	6	10	19	5	1	2	8	8	7	9	3	7	13	2	3	3	4	2
4306200	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
245621	8	12	18	5	3	25	6	3	6	16	3	24	7	2	1	1	8	0	9	0	18	9	1	0	0	1	0
585830	119	136	99	36	45	95	70	26	43	57	53	234	47	7	10	44	33	6	35	6	87	98	8	14	6	10	6
248199	17	12	7	46	18	12	16	13	1	15	7	5	6	3	1	6	17	0	10	5	22	7	1	4	3	5	4
248363	68	70	38	58	49	58	64	26	28	39	43	23	41	6	4	23	58	4	61	6	37	59	3	6	0	10	1
992871	37	58	40	15	3	54	26	14	7	42	24	35	46	15	5	13	15	5	38	5	39	28	6	8	3	7	2
251465	32	22	22	20	10	41	14	14	7	13	12	33	27	4	4	17	7	5	14	7	21	14	5	2	5	7	5
1889810	2	10	1	1	14	5	2	0	3	1	7	74	2	0	1	47	7	0	0	0	2	3	0	0	0	1	0
241533	26	23	29	10	0	24	13	5	6	7	11	32	17	0	0	13	17	0	10	1	26	12	1	2	3	2	1
355626	16	8	13	14	1	13	2	5	2	7	2	9	2	1	1	0	5	0	3	1	4	7	0	2	2	5	1
694269	36	22	24	22	5	26	9	12	8	15	13	36	16	4	5	13	11	2	11	2	21	22	4	7	2	6	1
1134692	39	22	46	50	22	51	17	32	9	17	7	55	14	5	9	12	14	8	26	5	44	14	20	11	11	12	7
751555	136	141	148	83	20	144	48	61	34	50	41	143	50	7	10	54	61	8	74	13	76	70	17	15	9	18	7
1124415	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
680608	79	69	74	57	3	67	6	83	50	74	150	46	26	2	1	21	23	8	111	2	50	54	7	7	3	7	2
780555	0	0	3	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
756603	230	82	216	20	15	529	111	96	59	66	37	239	75	28	29	72	156	15	218	10	115	106	30	15	13	19	21
243785	96	35	88	29	6	145	59	13	44	38	32	149	90	13	13	12	24	7	54	6	83	45	9	10	14	13	4
1138828	56	23	53	40	45	114	44	29	48	23	14	72	11	16	9	24	27	9	28	3	55	40	21	7	5	12	4
48487	153	157	111	34	50	188	50	46	124	62	162	811	61	15	17	62	51	14	87	4	153	61	14	12	6	7	7
695260	48	17	36	23	7	46	10	17	25	44	19	32	17	3	4	18	8	4	29	2	35	28	5	2	3	5	4
612438	184	106	117	93	13	133	41	39	16	53	69	126	64	17	22	34	23	18	66	13	66	114	24	26	24	16	12
1008533	21	32	20	18	5	22	14	16	13	7	7	8	7	2	3	7	21	0	10	0	15	11	3	1	2	2	1
850135	50	25	40	24	25	97	28	18	13	17	13	37	27	10	2	18	13	5	19	4	41	15	10	9	7	10	6
317157	14	9	15	7	5	21	2	10	1	5	6	12	12	1	2	5	16	4	6	3	26	4	8	4	0	3	3
944197	27	17	54	29	16	45	26	18	51	12	2	36	12	10	9	7	8	2	18	10	44	12	9	7	3	10	4
106543	9	3	6	1	0	2	0	2	4	1	0	4	0	1	1	1	1	0	2	0	5	5	0	2	0	1	0
714231	12	4	9	7	2	6	4	9	7	1	2	15	2	3	1	0	3	0	5	0	9	4	0	0	1	2	0
593384	18	21	19	15	15	28	6	4	14	6	13	22	9	1	1	5	6	0	14	1	18	10	5	2	1	2	4
287560	8	2	3	9	7	4	5	6	8	2	3	13	3	0	0	1	3	1	4	1	2	3	4	3	3	3	1
4816	44	18	41	16	4	33	10	12	17	10	15	34	14	2	0	10	7	0	9	1	22	17	5	1	1	1	1
547806	230	253	178	213	21	242	58	57	50	191	70	179	103	45	27	122	88	34	52	18	159	210	45	44	49	49	17
879663	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
253744	5	2	2	2	1	3	0	3	1	0	1	3	2	0	0	1	1	0	2	0	1	3	0	0	0	0	0
811561	9	10	1	30	0	7	3	1	0	9	2	1	0	1	0	2	4	0	6	0	5	0	0	0	0	0	0
792073	66	39	59	89	8	122	4	20	12	15	11	13	18	5	1	18	7	3	13	3	15	24	17	6	4	5	1
1095402	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
