KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0.00225173475484	0.000547395310647	0.00475148483901	0.00228692775759	0.0013783597519	0.00131734035915	0.00574420126518	0.0047040376323	0.000716402357615	0.00115129151292	0.000834471248672	0.0022393705553	0.00292427145306	0.00196621031168	0.00150713376649	0.000868751670676	0.00168323180507	0.00126262626263	0.000873108265425	0.0037055874446	0.0010593220339	0.00208483105679	0.000657462195924	0.00107257776189	0.000488042947779
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.000551445246082	0.000912325517745	0.000500156298843	0.00412463756279	0.0	0.000554669624905	0.0007271140842	0.000718672416046	0.000423328665863	0.00129889298893	0.00128963738431	0.00118020880617	0.000907532519915	0.0008010486455	0.000703329091031	0.000400962309543	0.000480923372876	0.0	0.000291036088475	0.00130785439221	0.000847457627119	0.00100647016535	0.000328731097962	0.00107257776189	0.000732064421669
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.000321676393548	0.00319313931211	0.000875273522976	0.000490055948054	0.0	0.000277334812452	0.00021813422526	0.00104534169607	0.000195382461168	0.000856088560886	0.000986193293886	0.000453926463913	0.000705858626601	0.000509758228954	0.000133967445911	0.000334135257952	0.000120230843219	0.0	0.0	0.00101722008283	0.0	0.00273184759166	0.000328731097962	0.000715051841258	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.0374523229631	0.126722014415	0.0589559237262	0.0227467635888	0.0289455547898	0.0789710878458	0.032720133789	0.0408989938586	0.0165749454557	0.115306273063	0.0392960097102	0.0259040702073	0.031763638197	0.0665598601806	0.0341616987072	0.0558674151296	0.0484129528695	0.0507575757576	0.0261932479627	0.0437404635617	0.0209745762712	0.120560747664	0.0328731097962	0.0218090811584	0.0461200585652
k__Bacteria;p__Chlamydiae;c__Chlamydiia	0.000229768852534	9.12325517745e-05	0.000187558612066	0.000122513987014	0.0	0.000277334812452	0.00029084563368	0.000261335424017	9.76912305839e-05	2.9520295203e-05	7.58610226066e-05	0.000181570585565	0.000100836946657	0.0	0.000100475584433	0.000133654103181	0.000200384738698	0.0	0.0	0.0	0.0	0.000143781452193	0.0	0.0	0.00024402147389
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.0828546482239	0.217954566189	0.0963426070647	0.0949483399355	0.0441075120606	0.283574845733	0.232167527085	0.158238599242	0.128073203295	0.326140221402	0.176756182673	0.0750491753669	0.148028637693	0.0997669676668	0.116250251189	0.220261962042	0.0840814363578	0.0474747474747	0.0389988358556	0.133619123738	0.0432203389831	0.198993529835	0.043392504931	0.0439756882374	0.0510004880429
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	0.00110289049216	0.000729860414196	0.000437636761488	0.000530893943725	0.000344589937974	0.000485335921792	0.00029084563368	0.000392003136025	0.00032563743528	0.000206642066421	0.000834471248672	0.000877591163565	0.000806695573258	0.00167491989514	0.000401902337732	0.000668270515905	0.000641231163835	0.000505050505051	0.000291036088475	0.000653927196106	0.000423728813559	0.00100647016535	0.000328731097962	0.0	0.00024402147389
k__Bacteria;p__Firmicutes;c__Bacilli	0.0146592527917	0.00264574400146	0.0231947483589	0.0161310082901	0.00447966919366	0.0090133814047	0.0255217043554	0.0226055141774	0.0084991370608	0.00974169741697	0.00864815657715	0.00971402632773	0.0154280528386	0.0232304107195	0.0134302364525	0.00795241913927	0.00837608207759	0.00858585858586	0.00844004656577	0.0101722008283	0.00656779661017	0.00496046010065	0.00986193293886	0.00715051841258	0.0070766227428
k__Bacteria;p__Firmicutes;c__Clostridia	0.0	0.0	0.000250078149422	4.08379956712e-05	0.000344589937974	6.93337031131e-05	7.271140842e-05	0.000130667712008	0.000195382461168	2.9520295203e-05	0.0	9.07852927826e-05	0.000100836946657	0.0	0.00304775939447	0.0	4.00769477397e-05	0.0	0.0	0.000217975732035	0.00021186440678	0.000143781452193	0.0	0.0	0.0
k__Bacteria;p__GN02;c__BD1-5	0.00156242819723	0.00437916248517	0.00150046889653	0.0018377098052	0.0013783597519	0.00117867295292	0.00167236239366	0.00202534953613	0.00293073691752	0.00245018450185	0.000606888180853	0.00220910879104	0.00151255419986	0.00429653364404	0.00157411748945	0.00133654103181	0.00140269317089	0.000505050505051	0.000291036088475	0.00297900167115	0.0010593220339	0.00136592379583	0.000986193293886	0.000715051841258	0.000732064421669
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	0.00220578098433	0.000638627862421	0.00156298843389	0.00245027974027	0.00172294968987	0.00256534701518	0.0014542281684	0.00202534953613	0.00234458953401	0.00112177121771	0.00106205431649	0.00169465879861	0.00191590198649	0.00101951645791	0.00204300355014	0.00160384923817	0.00180346264828	0.00126262626263	0.000873108265425	0.00174380585628	0.00127118644068	0.00129403306973	0.00295857988166	0.000715051841258	0.00219619326501
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	0.000827167869124	0.0	0.000437636761488	0.000735083922081	0.000344589937974	0.000624003328018	0.00021813422526	0.000653338560042	0.000553583639975	0.00029520295203	0.000379305113033	0.000393402935391	0.000403347786629	0.0008010486455	0.000502377922165	0.000400962309543	0.000761462007054	0.000252525252525	0.0	0.00043595146407	0.000635593220339	0.000287562904385	0.0	0.000357525920629	0.000488042947779
k__Bacteria;p__Nitrospirae;c__Nitrospira	0.00124075180369	0.000456162758872	0.0016880275086	0.00114346387879	0.00103376981392	0.000970671843583	0.00116338253472	0.00222135110414	0.000781529844671	0.000354243542435	0.000758610226066	0.000786805870782	0.00151255419986	0.000873871249636	0.000602853506598	0.00106923282545	0.00128246232767	0.000252525252525	0.000873108265425	0.00108987866018	0.000635593220339	0.000359453630482	0.000986193293886	0.000357525920629	0.000732064421669
k__Bacteria;p__OD1;c__Mb-NB09	9.19075410137e-05	0.0	0.000187558612066	0.000122513987014	0.000344589937974	0.000346668515565	0.00058169126736	0.0	0.000195382461168	0.000324723247232	7.58610226066e-05	0.000181570585565	0.000201673893315	0.000218467812409	0.000133967445911	0.000200481154771	4.00769477397e-05	0.0	0.0	7.26585773451e-05	0.0	0.000143781452193	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__	0.000827167869124	0.000456162758872	0.00131291028446	0.000980111896108	0.000689179875948	0.000416002218678	0.0007271140842	0.000196001568013	0.00032563743528	0.000590405904059	0.000303444090426	0.000605235285217	0.00110920641323	0.000655403437227	0.000937772121375	0.000534616412724	0.000841615902533	0.000757575757576	0.000873108265425	0.000653927196106	0.000423728813559	0.000575125808771	0.000328731097962	0.000715051841258	0.000488042947779
k__Bacteria;p__Planctomycetes;c__C6	0.00105693672166	0.000456162758872	0.00106283213504	0.000775921917752	0.000344589937974	0.0015946751716	0.00116338253472	0.00111067555207	0.000944348562311	0.00177121771218	0.00136549840692	0.000877591163565	0.0014117172532	0.00109233906204	0.000904280259897	0.000735097567495	0.000961846745752	0.00151515151515	0.00174621653085	0.00123519581487	0.00148305084746	0.00143781452193	0.00131492439185	0.000715051841258	0.00122010736945
k__Bacteria;p__Planctomycetes;c__OM190	0.000643352787096	0.000456162758872	0.000437636761488	0.000326703965369	0.0	0.000346668515565	0.00043626845052	0.000588004704038	0.00016281871764	0.000265682656827	0.000379305113033	0.000393402935391	0.000705858626601	0.000436935624818	0.000803804675464	0.000267308206362	0.000160307790959	0.000505050505051	0.000291036088475	0.00029063430938	0.0	0.000431344356578	0.000328731097962	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae	0.00151647442673	0.000456162758872	0.00181306658331	0.00114346387879	0.000689179875948	0.00090133814047	0.00101795971788	0.00176401411211	0.000586147383503	0.000590405904059	0.000834471248672	0.00229989408383	0.00262176061309	0.00182056510341	0.00110523142876	0.000334135257952	0.00128246232767	0.000505050505051	0.0011641443539	0.00210709874301	0.00127118644068	0.00215672178289	0.00197238658777	0.0	0.00146412884334
k__Bacteria;p__Planctomycetes;c__Pla4	9.19075410137e-05	0.0	0.000125039074711	0.000122513987014	0.000344589937974	6.93337031131e-05	0.00029084563368	0.000196001568013	3.2563743528e-05	5.90405904059e-05	0.000151722045213	0.000121047057043	0.000100836946657	0.000218467812409	0.000100475584433	0.0	0.000200384738698	0.0	0.000291036088475	0.00014531715469	0.0	0.000287562904385	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia	0.00151647442673	0.00109479062129	0.000875273522976	0.00118430187446	0.00103376981392	0.00152534146849	0.00239947647786	0.00130667712008	0.00126998599759	0.00112177121771	0.00174480351995	0.000817067635043	0.00121004335989	0.0008010486455	0.00133967445911	0.000400962309543	0.00108207758897	0.000505050505051	0.00058207217695	0.00130785439221	0.0010593220339	0.00165348670022	0.000328731097962	0.000357525920629	0.000488042947779
k__Bacteria;p__Proteobacteria;c__	0.000229768852534	0.000182465103549	6.25195373554e-05	0.000408379956712	0.0	0.000277334812452	7.271140842e-05	0.000261335424017	0.00032563743528	0.000118081180812	0.00022758306782	0.000907852927826	0.000100836946657	0.000364113020682	0.000167459307388	0.0	0.000200384738698	0.000252525252525	0.000291036088475	0.00217975732035	0.000423728813559	7.18907260963e-05	0.000328731097962	0.0	0.000488042947779
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.137861311521	0.055834321686	0.0952172553923	0.115979907706	0.0871812543074	0.0949178395618	0.100632589253	0.103227492487	0.118499462698	0.0541992619926	0.0848126232742	0.121107580572	0.126449531108	0.0794494611127	0.105465871793	0.101710772521	0.0914155177942	0.0828282828283	0.081490104773	0.112184843421	0.0849576271186	0.0868439971244	0.0897435897436	0.101179835538	0.0890678379697
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.214328385644	0.33883769729	0.233948108784	0.327275697309	0.382839421089	0.190945018373	0.191521849778	0.269828825297	0.28105767039	0.199025830258	0.28637536034	0.33245574217	0.250882323283	0.2799300903	0.30802465001	0.20041432772	0.279296248798	0.397222222222	0.405995343423	0.218992952118	0.429449152542	0.25708123652	0.368178829717	0.355023239185	0.404099560761
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.043150590506	0.0312927652586	0.0346983432323	0.0346714583248	0.0230875258442	0.0331415100881	0.0429724423762	0.0321442571541	0.0643785209548	0.0206642066421	0.0449855864057	0.0352549553639	0.0369063224766	0.0267987183222	0.0348985196597	0.0340149692596	0.0336646361013	0.0265151515152	0.0267753201397	0.0355300443217	0.0224576271186	0.029115744069	0.0269559500329	0.0218090811584	0.0261102977062
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.109369973806	0.0422406714716	0.0927789934354	0.0952342059052	0.0782219159201	0.0715523816127	0.0770740929252	0.0888540441657	0.0833957471751	0.0509520295203	0.120087998786	0.0951732486004	0.096500957951	0.082289542674	0.0826914059883	0.0846698743651	0.0695735812761	0.0717171717172	0.075960419092	0.101431373974	0.0728813559322	0.0675053918045	0.0782380013149	0.0811583839828	0.0741825280625
k__Bacteria;p__Proteobacteria;c__TA18	0.000459537705069	0.000547395310647	0.000375117224133	0.000204189978356	0.0	0.000277334812452	0.00014542281684	0.000196001568013	9.76912305839e-05	5.90405904059e-05	7.58610226066e-05	0.000151308821304	0.000403347786629	0.000145645208273	0.000234443030344	0.000200481154771	0.000160307790959	0.0	0.0	7.26585773451e-05	0.0	7.18907260963e-05	0.0	0.0	0.0
k__Bacteria;p__SBR1093;c__	0.000275722623041	9.12325517745e-05	0.000875273522976	0.000285865969698	0.000344589937974	0.000138667406226	0.00029084563368	0.00078400627205	0.00016281871764	5.90405904059e-05	0.0	0.000181570585565	0.000403347786629	0.000291290416545	0.000301426753299	0.000133654103181	0.000200384738698	0.000505050505051	0.00058207217695	0.00043595146407	0.00021186440678	0.000359453630482	0.000328731097962	0.0	0.000732064421669
k__Bacteria;p__Spirochaetes;c__[Leptospirae]	0.000183815082027	0.000182465103549	0.0	0.000163351982685	0.000344589937974	0.000138667406226	0.00014542281684	0.000196001568013	0.0	0.000206642066421	0.00022758306782	0.000211832349826	0.0	0.000218467812409	0.000100475584433	0.000133654103181	0.0	0.0	0.000291036088475	0.000217975732035	0.0	0.000503235082674	0.0	0.0	0.00024402147389
k__Bacteria;p__TM7;c__SC3	0.000275722623041	0.0	0.0	0.000204189978356	0.000689179875948	0.000624003328018	0.00021813422526	0.00672938716843	0.000976912305839	2.9520295203e-05	0.0	0.000453926463913	0.000907532519915	0.00269443635304	0.00056936164512	0.000334135257952	0.000120230843219	0.000252525252525	0.0011641443539	0.0	0.000847457627119	7.18907260963e-05	0.00164365548981	0.00214515552378	0.0
k__Bacteria;p__TM7;c__TM7-1	0.0105234134461	0.00082109296597	0.00912785245389	0.00383877159309	0.00379048931771	0.00589336476461	0.00894350323566	0.00607604860839	0.01393728223	0.00079704797048	0.00614474283113	0.00484188228174	0.0132096400121	0.00247596854064	0.00388505593141	0.00441058540497	0.00380731003527	0.00328282828283	0.00203725261932	0.0220155489356	0.00296610169492	0.00539180445723	0.00262984878369	0.00286020736503	0.00195217179112
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.000413583934562	9.12325517745e-05	0.000250078149422	8.16759913423e-05	0.0	0.000208001109339	0.0003635570421	0.000130667712008	0.000195382461168	2.9520295203e-05	0.0	0.000181570585565	0.000201673893315	0.000509758228954	0.000133967445911	0.0	0.000120230843219	0.0	0.0	7.26585773451e-05	0.0	0.000143781452193	0.0	0.000357525920629	0.0
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	0.00349248655852	0.00127725572484	0.0016880275086	0.00175603381386	0.0013783597519	0.00152534146849	0.00196320802734	0.00143734483209	0.00100947604937	0.000826568265683	0.00197238658777	0.00226963231956	0.0021175758798	0.00189338770754	0.00210998727309	0.00120288692863	0.00124238537993	0.000505050505051	0.0011641443539	0.00232507447504	0.00127118644068	0.00172537742631	0.000986193293886	0.00107257776189	0.000488042947779
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	0.000551445246082	0.000364930207098	0.000500156298843	0.000326703965369	0.000344589937974	0.000554669624905	0.00050897985894	0.000522670848033	0.000423328665863	0.000265682656827	0.000986193293886	0.000635497049478	0.000806695573258	0.000218467812409	0.000502377922165	0.000267308206362	0.000120230843219	0.000252525252525	0.0	0.00058126861876	0.00021186440678	0.000431344356578	0.0	0.000357525920629	0.00024402147389
