KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	0.000367630164055	0.000638627862421	0.000312597686777	0.000163351982685	0.000689179875948	0.000554669624905	0.00029084563368	0.000326669280021	0.000130254974112	0.000177121771218	7.58610226066e-05	0.000332879406869	0.000605021679944	0.000364113020682	0.000468886060687	0.000200481154771	0.000320615581917	0.000505050505051	0.000291036088475	0.000508610041415	0.000635593220339	0.00107836089145	0.000328731097962	0.0	0.000732064421669
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.0184734157438	0.0212571845635	0.0183182244451	0.0140891085066	0.00689179875948	0.0160854191222	0.0182505635134	0.0177708088331	0.0100296330066	0.0387306273063	0.0197238658777	0.0195793614768	0.0169406070384	0.0188610544713	0.011286757318	0.0111601176156	0.0156700865662	0.0113636363636	0.00844004656577	0.0189638886871	0.00720338983051	0.0213515456506	0.00591715976331	0.00786557025384	0.0129331381162
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.000551445246082	0.000912325517745	0.000500156298843	0.00412463756279	0.0	0.000554669624905	0.0007271140842	0.000718672416046	0.000423328665863	0.00129889298893	0.00128963738431	0.00118020880617	0.000907532519915	0.0008010486455	0.000703329091031	0.000400962309543	0.000480923372876	0.0	0.000291036088475	0.00130785439221	0.000847457627119	0.00100647016535	0.000328731097962	0.00107257776189	0.000732064421669
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.000321676393548	0.00319313931211	0.000875273522976	0.000490055948054	0.0	0.000277334812452	0.00021813422526	0.00104534169607	0.000195382461168	0.000856088560886	0.000986193293886	0.000453926463913	0.000705858626601	0.000509758228954	0.000133967445911	0.000334135257952	0.000120230843219	0.0	0.0	0.00101722008283	0.0	0.00273184759166	0.000328731097962	0.000715051841258	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.0374523229631	0.126722014415	0.0589559237262	0.0227467635888	0.0289455547898	0.0789710878458	0.032720133789	0.0408989938586	0.0165749454557	0.115306273063	0.0392960097102	0.0259040702073	0.031763638197	0.0665598601806	0.0341616987072	0.0558674151296	0.0484129528695	0.0507575757576	0.0261932479627	0.0437404635617	0.0209745762712	0.120560747664	0.0328731097962	0.0218090811584	0.0461200585652
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	0.000229768852534	9.12325517745e-05	0.000187558612066	0.000122513987014	0.0	0.000277334812452	0.00029084563368	0.000261335424017	9.76912305839e-05	2.9520295203e-05	7.58610226066e-05	0.000181570585565	0.000100836946657	0.0	0.000100475584433	0.000133654103181	0.000200384738698	0.0	0.0	0.0	0.0	0.000143781452193	0.0	0.0	0.00024402147389
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	0.0828546482239	0.217954566189	0.0963426070647	0.0949483399355	0.0441075120606	0.283574845733	0.232167527085	0.158238599242	0.128073203295	0.326140221402	0.176756182673	0.0750491753669	0.148028637693	0.0997669676668	0.116250251189	0.220261962042	0.0840814363578	0.0474747474747	0.0389988358556	0.133619123738	0.0432203389831	0.198993529835	0.043392504931	0.0439756882374	0.0510004880429
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__258ds10	0.00110289049216	0.000729860414196	0.000437636761488	0.000530893943725	0.000344589937974	0.000485335921792	0.00029084563368	0.000392003136025	0.00032563743528	0.000206642066421	0.000834471248672	0.000877591163565	0.000806695573258	0.00167491989514	0.000401902337732	0.000668270515905	0.000641231163835	0.000505050505051	0.000291036088475	0.000653927196106	0.000423728813559	0.00100647016535	0.000328731097962	0.0	0.00024402147389
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0146132990212	0.00264574400146	0.0228821506721	0.0161310082901	0.00447966919366	0.00894404770159	0.0253762815386	0.0222788448974	0.00833631834316	0.00974169741697	0.00857229555454	0.00962324103495	0.0154280528386	0.0232304107195	0.0125594480541	0.00795241913927	0.00837608207759	0.00808080808081	0.0081490104773	0.0101722008283	0.00656779661017	0.00496046010065	0.00986193293886	0.00679299249196	0.0070766227428
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	4.59537705069e-05	0.0	0.000312597686777	0.0	0.0	6.93337031131e-05	0.00014542281684	0.000326669280021	0.00016281871764	0.0	7.58610226066e-05	9.07852927826e-05	0.0	0.0	0.000870788398419	0.0	0.0	0.000505050505051	0.000291036088475	0.0	0.0	0.0	0.0	0.000357525920629	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.0	0.0	0.000250078149422	4.08379956712e-05	0.000344589937974	6.93337031131e-05	7.271140842e-05	0.000130667712008	0.000195382461168	2.9520295203e-05	0.0	9.07852927826e-05	0.000100836946657	0.0	0.00304775939447	0.0	4.00769477397e-05	0.0	0.0	0.000217975732035	0.00021186440678	0.000143781452193	0.0	0.0	0.0
k__Bacteria;p__GN02;c__BD1-5;o__	0.00156242819723	0.00437916248517	0.00150046889653	0.0018377098052	0.0013783597519	0.00117867295292	0.00167236239366	0.00202534953613	0.00293073691752	0.00245018450185	0.000606888180853	0.00220910879104	0.00151255419986	0.00429653364404	0.00157411748945	0.00133654103181	0.00140269317089	0.000505050505051	0.000291036088475	0.00297900167115	0.0010593220339	0.00136592379583	0.000986193293886	0.000715051841258	0.000732064421669
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__	0.00220578098433	0.000638627862421	0.00156298843389	0.00245027974027	0.00172294968987	0.00256534701518	0.0014542281684	0.00202534953613	0.00234458953401	0.00112177121771	0.00106205431649	0.00169465879861	0.00191590198649	0.00101951645791	0.00204300355014	0.00160384923817	0.00180346264828	0.00126262626263	0.000873108265425	0.00174380585628	0.00127118644068	0.00129403306973	0.00295857988166	0.000715051841258	0.00219619326501
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__	0.000551445246082	0.0	0.000437636761488	0.000449217952383	0.000344589937974	0.000416002218678	0.00021813422526	0.000326669280021	0.000358201178808	0.000236162361624	0.000379305113033	0.000302617642609	0.000302510839972	0.000582580833091	0.000368410476254	0.000334135257952	0.000601154216095	0.000252525252525	0.0	0.00029063430938	0.000635593220339	0.000215672178289	0.0	0.000357525920629	0.00024402147389
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales	0.000275722623041	0.0	0.0	0.000285865969698	0.0	0.000208001109339	0.0	0.000326669280021	0.000195382461168	5.90405904059e-05	0.0	9.07852927826e-05	0.000100836946657	0.000218467812409	0.000133967445911	6.68270515905e-05	0.000160307790959	0.0	0.0	0.00014531715469	0.0	7.18907260963e-05	0.0	0.0	0.00024402147389
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales	0.00124075180369	0.000456162758872	0.0016880275086	0.00114346387879	0.00103376981392	0.000970671843583	0.00116338253472	0.00222135110414	0.000781529844671	0.000354243542435	0.000758610226066	0.000786805870782	0.00151255419986	0.000873871249636	0.000602853506598	0.00106923282545	0.00128246232767	0.000252525252525	0.000873108265425	0.00108987866018	0.000635593220339	0.000359453630482	0.000986193293886	0.000357525920629	0.000732064421669
k__Bacteria;p__OD1;c__Mb-NB09;o__	9.19075410137e-05	0.0	0.000187558612066	0.000122513987014	0.000344589937974	0.000346668515565	0.00058169126736	0.0	0.000195382461168	0.000324723247232	7.58610226066e-05	0.000181570585565	0.000201673893315	0.000218467812409	0.000133967445911	0.000200481154771	4.00769477397e-05	0.0	0.0	7.26585773451e-05	0.0	0.000143781452193	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__;o__	0.000827167869124	0.000456162758872	0.00131291028446	0.000980111896108	0.000689179875948	0.000416002218678	0.0007271140842	0.000196001568013	0.00032563743528	0.000590405904059	0.000303444090426	0.000605235285217	0.00110920641323	0.000655403437227	0.000937772121375	0.000534616412724	0.000841615902533	0.000757575757576	0.000873108265425	0.000653927196106	0.000423728813559	0.000575125808771	0.000328731097962	0.000715051841258	0.000488042947779
k__Bacteria;p__Planctomycetes;c__C6;o__d113	0.00105693672166	0.000456162758872	0.00106283213504	0.000775921917752	0.000344589937974	0.0015946751716	0.00116338253472	0.00111067555207	0.000944348562311	0.00177121771218	0.00136549840692	0.000877591163565	0.0014117172532	0.00109233906204	0.000904280259897	0.000735097567495	0.000961846745752	0.00151515151515	0.00174621653085	0.00123519581487	0.00148305084746	0.00143781452193	0.00131492439185	0.000715051841258	0.00122010736945
k__Bacteria;p__Planctomycetes;c__OM190;o__CL500-15	0.000643352787096	0.000456162758872	0.000437636761488	0.000326703965369	0.0	0.000346668515565	0.00043626845052	0.000588004704038	0.00016281871764	0.000265682656827	0.000379305113033	0.000393402935391	0.000705858626601	0.000436935624818	0.000803804675464	0.000267308206362	0.000160307790959	0.000505050505051	0.000291036088475	0.00029063430938	0.0	0.000431344356578	0.000328731097962	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	0.00151647442673	0.000456162758872	0.00181306658331	0.00114346387879	0.000689179875948	0.00090133814047	0.00101795971788	0.00176401411211	0.000586147383503	0.000590405904059	0.000834471248672	0.00229989408383	0.00262176061309	0.00182056510341	0.00110523142876	0.000334135257952	0.00128246232767	0.000505050505051	0.0011641443539	0.00210709874301	0.00127118644068	0.00215672178289	0.00197238658777	0.0	0.00146412884334
k__Bacteria;p__Planctomycetes;c__Pla4;o__	9.19075410137e-05	0.0	0.000125039074711	0.000122513987014	0.000344589937974	6.93337031131e-05	0.00029084563368	0.000196001568013	3.2563743528e-05	5.90405904059e-05	0.000151722045213	0.000121047057043	0.000100836946657	0.000218467812409	0.000100475584433	0.0	0.000200384738698	0.0	0.000291036088475	0.00014531715469	0.0	0.000287562904385	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales	0.000643352787096	0.000729860414196	0.000437636761488	0.000122513987014	0.00103376981392	0.000762670734244	0.00174507380208	0.000457336992029	0.000618711127031	0.000265682656827	0.000682749203459	0.000332879406869	0.000605021679944	0.000582580833091	0.000301426753299	6.68270515905e-05	0.000521000320616	0.000252525252525	0.000291036088475	0.00043595146407	0.00021186440678	0.000287562904385	0.0	0.000357525920629	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales	0.000873121639631	0.000364930207098	0.000437636761488	0.00106178788745	0.0	0.000762670734244	0.00065440267578	0.000849340128054	0.000651274870559	0.000856088560886	0.00106205431649	0.000484188228174	0.000605021679944	0.000218467812409	0.00103824770581	0.000334135257952	0.000561077268355	0.000252525252525	0.000291036088475	0.000871902928141	0.000847457627119	0.00136592379583	0.000328731097962	0.0	0.000488042947779
k__Bacteria;p__Proteobacteria;c__;o__	0.000229768852534	0.000182465103549	6.25195373554e-05	0.000408379956712	0.0	0.000277334812452	7.271140842e-05	0.000261335424017	0.00032563743528	0.000118081180812	0.00022758306782	0.000907852927826	0.000100836946657	0.000364113020682	0.000167459307388	0.0	0.000200384738698	0.000252525252525	0.000291036088475	0.00217975732035	0.000423728813559	7.18907260963e-05	0.000328731097962	0.0	0.000488042947779
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.00128670557419	0.00209834869081	0.00193810565802	0.00334871564504	0.0013783597519	0.00228801220273	0.00232676506944	0.00215601724814	0.00234458953401	0.00171217712177	0.00288271885905	0.00396429111817	0.00131088030654	0.00211185551995	0.00231093844196	0.00233894680567	0.00288554023726	0.0010101010101	0.0023282887078	0.00268836736177	0.00169491525424	0.00143781452193	0.00197238658777	0.0025026814444	0.00146412884334
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.10247690823	0.0425143691269	0.0730853391685	0.0853105729571	0.0716747070986	0.0714137142065	0.0782374754599	0.077551287077	0.093197433977	0.041741697417	0.0645577302382	0.0939022545014	0.0959967732177	0.0594232449752	0.0799115814857	0.0741112002138	0.0701346585444	0.0661616161616	0.063736903376	0.0892247329797	0.0690677966102	0.0647016534867	0.0729783037475	0.0768680729353	0.0695461200586
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.00556040623133	0.00228081379436	0.00275085964364	0.00392044758443	0.00172294968987	0.00277334812452	0.00334472478732	0.00326669280021	0.00420072291511	0.00227306273063	0.00212410863298	0.00426690876078	0.00584854290612	0.00313137197786	0.00341616987072	0.00334135257952	0.00236453991664	0.00126262626263	0.00261932479627	0.00392356317663	0.000847457627119	0.00287562904385	0.00197238658777	0.00536288880944	0.00341630063446
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	0.0264234180415	0.0085758598668	0.0159424820256	0.0211540817577	0.0117160578911	0.0169867572627	0.015414818585	0.0188161505292	0.017454166531	0.00761623616236	0.0131239569109	0.0173097291572	0.021478269638	0.0133265365569	0.0182195726438	0.0203822507351	0.0142673933953	0.0138888888889	0.0125145518044	0.0154036183972	0.0125	0.0168224299065	0.0115055884287	0.0150160886664	0.0134211810639
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0.00211387344332	0.000364930207098	0.00150046889653	0.00224608976191	0.000689179875948	0.00145600776537	0.00130880535156	0.00143734483209	0.00130254974112	0.000856088560886	0.00212410863298	0.00166439703435	0.00181506503983	0.00145645208273	0.00160760935093	0.00153702218658	0.00176338570055	0.000505050505051	0.000291036088475	0.000944561505486	0.000847457627119	0.00100647016535	0.00131492439185	0.00143010368252	0.00122010736945
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__	0.000413583934562	0.0	0.000312597686777	0.000857597909095	0.000689179875948	0.000208001109339	0.00029084563368	0.000130667712008	0.00016281871764	5.90405904059e-05	0.0	0.000211832349826	0.000302510839972	0.000218467812409	6.69837229553e-05	0.000267308206362	4.00769477397e-05	0.0	0.0	0.000217975732035	0.00021186440678	7.18907260963e-05	0.0	0.0	0.00024402147389
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.208078672855	0.335918255634	0.228571428571	0.321272511945	0.378359751895	0.186992997296	0.187522722315	0.264536782961	0.276401055065	0.197195571956	0.282203004096	0.327069148131	0.245739639004	0.276725895718	0.303335789403	0.195535952954	0.275569092658	0.394696969697	0.401920838184	0.214052168859	0.424788135593	0.253558590942	0.365220249836	0.35252055774	0.400195217179
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1	0.00427370065714	0.000912325517745	0.00400125039075	0.00371625760608	0.00206753962784	0.0031893503432	0.00261761070312	0.00359336208023	0.00345175681396	0.000885608856089	0.00204824761038	0.00332879406869	0.00363013007966	0.00167491989514	0.00348315359368	0.00340817963111	0.00248477075986	0.00151515151515	0.00291036088475	0.00319697740318	0.00296610169492	0.00222861250899	0.00262984878369	0.00143010368252	0.00219619326501
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	0.00119479803318	0.00145972082839	0.000562675836199	0.00110262588312	0.00103376981392	0.000485335921792	0.0010906711263	0.00104534169607	0.000814093588199	0.000619926199262	0.00128963738431	0.00114994704191	0.000605021679944	0.000509758228954	0.000937772121375	0.000735097567495	0.000881692850273	0.000505050505051	0.000291036088475	0.00101722008283	0.0010593220339	0.000503235082674	0.000328731097962	0.000357525920629	0.000732064421669
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	0.000183815082027	0.000547395310647	0.000187558612066	0.000285865969698	0.000344589937974	0.0	0.0	0.000326669280021	6.51274870559e-05	0.000177121771218	0.000606888180853	0.000484188228174	0.000403347786629	0.000582580833091	0.000100475584433	6.68270515905e-05	0.000280538634178	0.0	0.00058207217695	0.00014531715469	0.0	0.000718907260963	0.0	0.0	0.000732064421669
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84	0.000183815082027	0.0	0.000312597686777	4.08379956712e-05	0.000344589937974	6.93337031131e-05	0.0	0.000196001568013	0.00016281871764	8.85608856089e-05	0.00022758306782	0.000211832349826	0.000201673893315	0.000218467812409	0.000100475584433	0.000400962309543	4.00769477397e-05	0.000505050505051	0.000291036088475	0.000363292886725	0.000423728813559	0.0	0.0	0.000715051841258	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales	0.000459537705069	0.00374053462275	0.000375117224133	0.00163351982685	0.00103376981392	0.0010400055467	0.00065440267578	0.00124134326408	0.00185613338109	0.000442804428044	0.00174480351995	0.00148282644878	0.0014117172532	0.000873871249636	0.00107173956729	0.000935578722267	0.00124238537993	0.000505050505051	0.0011641443539	0.00138051296956	0.0	0.00122214234364	0.0	0.00143010368252	0.000732064421669
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46	0.000275722623041	9.12325517745e-05	0.000250078149422	0.000367541961041	0.000689179875948	0.000208001109339	0.0003635570421	0.000718672416046	0.000130254974112	0.000324723247232	0.0	0.000151308821304	0.000403347786629	0.000145645208273	0.000267934891821	0.000133654103181	0.000320615581917	0.0	0.00058207217695	0.000508610041415	0.0	7.18907260963e-05	0.000328731097962	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0.0386471209963	0.0257275796004	0.0304470146921	0.0289133009352	0.0192970365265	0.0287734867919	0.0394095833636	0.0266562132497	0.0588752482985	0.0168560885609	0.0417994234562	0.0289605083976	0.031763638197	0.0242499271774	0.0305445776676	0.0304063084737	0.0300977877525	0.0232323232323	0.023282887078	0.0300806510209	0.0194915254237	0.026096333573	0.0239973701512	0.0182338219521	0.0231820400195
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j	0.00280318000092	0.00145972082839	0.00268834010628	0.0024094417446	0.00172294968987	0.00242667960896	0.0021813422526	0.00267868809617	0.00283304568693	0.00259778597786	0.00121377636171	0.00411559993948	0.0028234345064	0.00101951645791	0.002243954719	0.00180433039294	0.00156300096185	0.0020202020202	0.00145518044237	0.00217975732035	0.00296610169492	0.00122214234364	0.00197238658777	0.00178762960315	0.00122010736945
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	0.000965029180644	0.000273697655323	0.000937793060331	0.00134765385715	0.000344589937974	0.000693337031131	0.0003635570421	0.000849340128054	0.000683838614087	0.000442804428044	0.00022758306782	0.000544711756695	0.000504184733286	0.000509758228954	0.000770312813986	0.000735097567495	0.000440846425136	0.000757575757576	0.000291036088475	0.00138051296956	0.0	0.000503235082674	0.000657462195924	0.000357525920629	0.000976085895559
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.000275722623041	9.12325517745e-05	0.000125039074711	4.08379956712e-05	0.0	0.000138667406226	0.00014542281684	6.53338560042e-05	0.000293073691752	0.000206642066421	7.58610226066e-05	0.000181570585565	0.000403347786629	0.000145645208273	0.000234443030344	6.68270515905e-05	8.01538954793e-05	0.0	0.0	0.000508610041415	0.0	7.18907260963e-05	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__34P16	0.000597399016589	9.12325517745e-05	0.000250078149422	0.000245027974027	0.000689179875948	0.000208001109339	0.00029084563368	0.0	0.000521019896447	0.00029520295203	7.58610226066e-05	6.05235285217e-05	0.000100836946657	0.000364113020682	0.000334918614777	0.000133654103181	0.000160307790959	0.000252525252525	0.00058207217695	0.00014531715469	0.0	7.18907260963e-05	0.0	0.0	0.00024402147389
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	0.000321676393548	0.00082109296597	0.000562675836199	0.00102094989178	0.000344589937974	0.000277334812452	0.0003635570421	0.000980007840063	0.00120485851053	0.00050184501845	0.00273099681384	0.00145256468452	0.000403347786629	0.000509758228954	0.000602853506598	0.000267308206362	0.000320615581917	0.00151515151515	0.000291036088475	0.000653927196106	0.000635593220339	0.00100647016535	0.000657462195924	0.000357525920629	0.000488042947779
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.000183815082027	0.000273697655323	0.000187558612066	0.000122513987014	0.0	0.000277334812452	0.00021813422526	0.000522670848033	6.51274870559e-05	2.9520295203e-05	0.00022758306782	3.02617642609e-05	0.000201673893315	0.000364113020682	0.000100475584433	0.000133654103181	0.0	0.000252525252525	0.000291036088475	0.00014531715469	0.0	0.0	0.000657462195924	0.000715051841258	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	9.19075410137e-05	0.000182465103549	0.0	4.08379956712e-05	0.000689179875948	0.0	7.271140842e-05	0.000130667712008	6.51274870559e-05	0.000147601476015	7.58610226066e-05	0.000151308821304	0.000302510839972	0.000218467812409	0.000100475584433	0.000133654103181	4.00769477397e-05	0.0	0.0	0.000363292886725	0.0	0.000143781452193	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.00464133082119	0.000912325517745	0.00793998124414	0.0129456446278	0.0013783597519	0.00526936143659	0.00588962408202	0.00823206585653	0.0022143345599	0.00315867158672	0.0542406311637	0.00360114994704	0.00665523847938	0.00436935624818	0.00529171411347	0.00407645014702	0.00148284706637	0.00353535353535	0.00291036088475	0.0066119305384	0.00338983050847	0.00136592379583	0.00262984878369	0.00321773328566	0.00292825768668
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	0.103258122329	0.0398686251254	0.0837136605189	0.0808183934333	0.0751206064783	0.0653816820356	0.0700937977169	0.0789232980531	0.0790322055423	0.0466125461255	0.062661204673	0.0896958692692	0.0884340022184	0.0763180891349	0.0760265255543	0.0798583266506	0.0674895799936	0.0661616161616	0.0718859138533	0.0930029790017	0.0688559322034	0.0648454349389	0.0742932281394	0.0768680729353	0.0705222059541
k__Bacteria;p__Proteobacteria;c__TA18;o__CV90	0.000459537705069	0.000547395310647	0.000375117224133	0.000204189978356	0.0	0.000277334812452	0.00014542281684	0.000196001568013	9.76912305839e-05	5.90405904059e-05	7.58610226066e-05	0.000151308821304	0.000403347786629	0.000145645208273	0.000234443030344	0.000200481154771	0.000160307790959	0.0	0.0	7.26585773451e-05	0.0	7.18907260963e-05	0.0	0.0	0.0
k__Bacteria;p__SBR1093;c__;o__	0.000275722623041	9.12325517745e-05	0.000875273522976	0.000285865969698	0.000344589937974	0.000138667406226	0.00029084563368	0.00078400627205	0.00016281871764	5.90405904059e-05	0.0	0.000181570585565	0.000403347786629	0.000291290416545	0.000301426753299	0.000133654103181	0.000200384738698	0.000505050505051	0.00058207217695	0.00043595146407	0.00021186440678	0.000359453630482	0.000328731097962	0.0	0.000732064421669
